time,GPS_lat,GPS_long,accelx,accely,accelz
1552636992.561271,0,0,0.004326,0.006536,0.101041
1552636992.579606,0,0,0.004351,0.007106,0.100892
1552636992.625441,0,0,0.004351,0.007081,0.100743
1552636992.643492,0,0,0.004351,0.007081,0.100668
1552636992.661350,0,0,0.004326,0.007007,0.100817
1552636992.679227,0,0,0.004351,0.007056,0.100743
1552636992.696897,0,0,0.004129,0.006932,0.101016
1552636992.714803,0,0,0.004376,0.006784,0.100941
1552636992.736866,0,0,0.004401,0.006982,0.100991
1552636992.775045,0,0,0.004549,0.006907,0.100892
1552636992.793256,0,0,0.004351,0.006907,0.100917
1552636992.811409,0,0,0.004277,0.006957,0.100941
1552636992.829339,0,0,0.004302,0.006808,0.100519
1552636992.847253,0,0,0.004277,0.006957,0.100618
1552636992.865091,0,0,0.004326,0.007056,0.100892
1552636992.882924,0,0,0.004351,0.006982,0.101264
1552636992.901822,0,0,0.004277,0.007056,0.101041
1552636992.920391,0,0,0.004252,0.006833,0.100842
1552636992.965417,0,0,0.004500,0.006982,0.100693
1552636992.983512,0,0,0.004425,0.007155,0.100867
1552636993.001363,0,0,0.004376,0.007155,0.100817
1552636993.019850,0,0,0.004351,0.006982,0.100867
1552636993.038521,0,0,0.004500,0.007106,0.101016
1552636993.056569,0,0,0.004326,0.006858,0.100817
1552636993.080679,0,0,0.004302,0.006858,0.100842
1552636993.125349,0,0,0.004401,0.006982,0.100892
1552636993.161078,0,0,0.004351,0.006932,0.100991
1552636993.178931,0,0,0.004401,0.006883,0.100718
1552636993.196925,0,0,0.004326,0.006982,0.100867
1552636993.214803,0,0,0.004203,0.007007,0.100693
1552636993.232499,0,0,0.004228,0.007007,0.100966
1552636993.250370,0,0,0.004129,0.006784,0.100892
1552636993.272316,0,0,0.004326,0.007007,0.100743
1552636993.326524,0,0,0.004351,0.006982,0.101016
1552636993.362218,0,0,0.004277,0.006957,0.100569
1552636993.380690,0,0,0.004450,0.006808,0.100668
1552636993.398590,0,0,0.004351,0.007353,0.100917
1552636993.416506,0,0,0.004326,0.006883,0.101016
1552636993.434350,0,0,0.004376,0.006907,0.100743
1552636993.452207,0,0,0.004252,0.007031,0.100718
1552636993.474009,0,0,0.004574,0.006932,0.101016
1552636993.511586,0,0,0.004450,0.007056,0.101041
1552636993.529635,0,0,0.004252,0.006957,0.100917
1552636993.557496,0,0,0.004401,0.006932,0.101314
1552636993.575372,0,0,0.003980,0.006561,0.101438
1552636993.593263,0,0,0.004945,0.007205,0.101140
1552636993.611125,0,0,0.003956,0.007526,0.100420
1552636993.629027,0,0,0.005093,0.007254,0.100817
1552636993.653352,0,0,0.003684,0.007056,0.101538
1552636993.697813,0,0,0.004796,0.008343,0.101911
1552636993.733438,0,0,0.002868,0.011661,0.100593
1552636993.751717,0,0,0.004673,0.007304,0.100966
1552636993.769591,0,0,0.003708,0.006363,0.101041
1552636993.787433,0,0,0.005043,0.007056,0.100022
1552636993.805290,0,0,0.004104,0.007229,0.101066
1552636993.823168,0,0,0.004005,0.006610,0.101264
1552636993.841763,0,0,0.004376,0.006808,0.100270
1552636993.860544,0,0,0.004351,0.007601,0.100941
1552636993.905226,0,0,0.003931,0.006536,0.100643
1552636993.923195,0,0,0.003857,0.006437,0.101090
1552636993.941079,0,0,0.004129,0.006808,0.101140
1552636993.958917,0,0,0.004351,0.007205,0.100941
1552636993.976738,0,0,0.004376,0.006932,0.100817
1552636993.994556,0,0,0.004425,0.007031,0.100519
1552636994.022149,0,0,0.004153,0.006883,0.100420
1552636994.067671,0,0,0.003906,0.006709,0.101115
1552636994.103920,0,0,0.003783,0.006685,0.100991
1552636994.122041,0,0,0.004326,0.006635,0.100494
